id;x;y;z;time
0x6733;1993;929;0;2019-05-16 10:24:58.130
0x6733;1907;974;0;2019-05-16 10:24:58.349
0x6733;1875;971;0;2019-05-16 10:24:58.688
0x6733;2122;956;0;2019-05-16 10:24:58.871
0x6733;1915;962;0;2019-05-16 10:24:59.052
0x6733;1880;976;0;2019-05-16 10:24:59.239
0x6733;2123;953;0;2019-05-16 10:24:59.596
0x6733;2088;947;0;2019-05-16 10:24:59.783
0x6733;1861;977;0;2019-05-16 10:24:59.966
0x6733;1901;938;0;2019-05-16 10:25:00.157
0x6733;2106;966;0;2019-05-16 10:25:00.334
0x6733;1897;935;0;2019-05-16 10:25:00.520
0x6733;2108;962;0;2019-05-16 10:25:00.716
0x6733;1868;942;0;2019-05-16 10:25:01.073
0x6733;1914;950;0;2019-05-16 10:25:01.427
0x6733;2113;944;0;2019-05-16 10:25:01.609
0x6733;2117;947;0;2019-05-16 10:25:01.796
0x6733;2065;1145;0;2019-05-16 10:25:01.973
0x6733;1924;987;0;2019-05-16 10:25:02.163
0x6733;2115;970;0;2019-05-16 10:25:02.346
0x6733;2138;937;0;2019-05-16 10:25:02.524
0x6733;2085;941;0;2019-05-16 10:25:02.712
0x6733;1900;929;0;2019-05-16 10:25:02.897
0x6733;2113;956;0;2019-05-16 10:25:03.084
0x6733;2060;1117;0;2019-05-16 10:25:03.253
0x6733;1899;943;0;2019-05-16 10:25:03.436
0x6733;2125;989;0;2019-05-16 10:25:03.615
0x6733;1907;995;0;2019-05-16 10:25:03.798
0x6733;2114;986;0;2019-05-16 10:25:03.985
0x6733;2114;926;0;2019-05-16 10:25:04.169
0x6733;1885;993;0;2019-05-16 10:25:04.347
0x6733;2134;959;0;2019-05-16 10:25:04.533
0x6733;1882;922;0;2019-05-16 10:25:04.708
0x6733;2088;983;0;2019-05-16 10:25:05.116
0x6733;2105;969;0;2019-05-16 10:25:05.264
0x6733;1893;977;0;2019-05-16 10:25:05.446
0x6733;2125;965;0;2019-05-16 10:25:05.815
0x6733;2140;943;0;2019-05-16 10:25:06.002
0x6733;2107;960;0;2019-05-16 10:25:06.175
0x6733;2108;959;0;2019-05-16 10:25:06.384
0x6733;2122;904;0;2019-05-16 10:25:06.559
0x6733;1883;983;0;2019-05-16 10:25:06.751
0x6733;2122;956;0;2019-05-16 10:25:06.912
0x6733;1944;957;0;2019-05-16 10:25:07.106
0x6733;1918;973;0;2019-05-16 10:25:07.285
0x6733;1911;925;0;2019-05-16 10:25:07.465
0x6733;1908;942;0;2019-05-16 10:25:07.642
0x6733;1903;966;0;2019-05-16 10:25:08.009
0x6733;2100;946;0;2019-05-16 10:25:08.189
0x6733;1897;944;0;2019-05-16 10:25:08.374
0x6733;1919;958;0;2019-05-16 10:25:08.565
0x6733;1881;959;0;2019-05-16 10:25:08.928
0x6733;1905;974;0;2019-05-16 10:25:09.106
0x6733;1895;968;0;2019-05-16 10:25:09.286
0x6733;2092;933;0;2019-05-16 10:25:09.474
0x6733;1925;998;0;2019-05-16 10:25:09.836
0x6733;2121;949;0;2019-05-16 10:25:10.017
0x6733;2108;940;0;2019-05-16 10:25:10.204
0x6733;1893;1010;0;2019-05-16 10:25:10.560
0x6733;2131;940;0;2019-05-16 10:25:10.936
0x6733;2105;933;0;2019-05-16 10:25:11.125
0x6733;1912;955;0;2019-05-16 10:25:11.290
0x6733;1935;998;0;2019-05-16 10:25:11.663
