;time;id;x;y;height;cam
379;1557995086415;27979;483;203;1224;D8:80:39:D8:42:9E
380;1557995086710;27966;265;178;1216;D8:80:39:D8:42:9E
381;1557995086710;27979;485;204;1209;D8:80:39:D8:42:9E
382;1557995086910;27966;265;178;1216;D8:80:39:D8:42:9E
383;1557995086910;27979;485;204;1209;D8:80:39:D8:42:9E
384;1557995087214;27966;266;177;1216;D8:80:39:D8:42:9E
385;1557995087214;27979;483;203;1224;D8:80:39:D8:42:9E
386;1557995087410;27966;267;177;1200;D8:80:39:D8:42:9E
387;1557995087410;27979;483;203;1224;D8:80:39:D8:42:9E
388;1557995087737;27966;266;178;1192;D8:80:39:D8:42:9E
389;1557995087737;27979;484;204;1209;D8:80:39:D8:42:9E
390;1557995087908;27966;266;178;1208;D8:80:39:D8:42:9E
391;1557995087908;27979;484;203;1217;D8:80:39:D8:42:9E
392;1557995088206;27966;264;179;1215;D8:80:39:D8:42:9E
393;1557995088206;27979;484;203;1217;D8:80:39:D8:42:9E
394;1557995088513;27966;263;180;1215;D8:80:39:D8:42:9E
395;1557995088513;27979;485;204;1209;D8:80:39:D8:42:9E
396;1557995088715;27966;262;179;1215;D8:80:39:D8:42:9E
397;1557995088715;27979;483;203;1224;D8:80:39:D8:42:9E
398;1557995088913;27966;261;178;1215;D8:80:39:D8:42:9E
399;1557995088913;27979;484;204;1216;D8:80:39:D8:42:9E
400;1557995089222;27966;261;179;1230;D8:80:39:D8:42:9E
401;1557995089222;27979;485;204;1201;D8:80:39:D8:42:9E
402;1557995089408;27966;258;180;1245;D8:80:39:D8:42:9E
403;1557995089408;27979;485;204;1201;D8:80:39:D8:42:9E
404;1557995089714;27966;253;182;1266;D8:80:39:D8:42:9E
405;1557995089714;27979;486;204;1201;D8:80:39:D8:42:9E
406;1557995090014;27966;250;183;1288;D8:80:39:D8:42:9E
407;1557995090014;27979;485;204;1201;D8:80:39:D8:42:9E
408;1557995090212;27966;251;182;1273;D8:80:39:D8:42:9E
409;1557995090212;27979;485;204;1209;D8:80:39:D8:42:9E
410;1557995090413;27966;253;181;1259;D8:80:39:D8:42:9E
411;1557995090413;27979;485;204;1209;D8:80:39:D8:42:9E
412;1557995090706;27966;255;180;1252;D8:80:39:D8:42:9E
413;1557995090706;27979;486;203;1201;D8:80:39:D8:42:9E
414;1557995090907;27966;255;180;1252;D8:80:39:D8:42:9E
415;1557995090907;27979;487;203;1202;D8:80:39:D8:42:9E
416;1557995091222;27966;256;181;1252;D8:80:39:D8:42:9E
417;1557995091222;27979;486;204;1201;D8:80:39:D8:42:9E
418;1557995091413;27966;256;181;1252;D8:80:39:D8:42:9E
419;1557995091413;27979;486;204;1201;D8:80:39:D8:42:9E
420;1557995091708;27966;255;181;1252;D8:80:39:D8:42:9E
421;1557995091708;27979;485;204;1209;D8:80:39:D8:42:9E
422;1557995091909;27966;255;181;1252;D8:80:39:D8:42:9E
423;1557995091909;27979;485;204;1209;D8:80:39:D8:42:9E
